,"County, State",GEO ID,FSRR2010,State,County,Name,Broadband (%)
164,"Boone County, Missouri",0500000US29019,70,29,019,"Boone County, Missouri",0.83696556
165,"Clay County, Missouri",0500000US29047,73.6,29,047,"Clay County, Missouri",0.6363517
166,"Jackson County, Missouri",0500000US29095,66.6,29,095,"Jackson County, Missouri",0.60395271
167,"Jefferson County, Missouri",0500000US29099,73.2,29,099,"Jefferson County, Missouri",0.81507057
168,"St. Louis County, Missouri",0500000US29189,75.2,29,189,"St. Louis County, Missouri",0.76545441
169,"Yellowstone County, Montana",0500000US30111,73.8,30,111,"Yellowstone County, Montana",0.69500965
170,"Lancaster County, Nebraska",0500000US31109,74.6,31,109,"Lancaster County, Nebraska",0.66847467
171,"Sarpy County, Nebraska",0500000US31153,75.4,31,153,"Sarpy County, Nebraska",0.86851633
172,"Clark County, Nevada",0500000US32003,60.4,32,003,"Clark County, Nevada",0.7770251
173,"Washoe County, Nevada",0500000US32031,66.9,32,031,"Washoe County, Nevada",0.6664235
174,"Atlantic County, New Jersey",0500000US34001,59.9,34,001,"Atlantic County, New Jersey",0.70512736
175,"Bergen County, New Jersey",0500000US34003,72.4,34,003,"Bergen County, New Jersey",0.85369241
176,"Burlington County, New Jersey",0500000US34005,75.3,34,005,"Burlington County, New Jersey",0.82827383
177,"Camden County, New Jersey",0500000US34007,71.3,34,007,"Camden County, New Jersey",0.75967705
178,"Cape May County, New Jersey",0500000US34009,32.6,34,009,"Cape May County, New Jersey",0.71948671
179,"Cumberland County, New Jersey",0500000US34011,66.8,34,011,"Cumberland County, New Jersey",0.53924704
180,"Essex County, New Jersey",0500000US34013,59.7,34,013,"Essex County, New Jersey",0.77558124
181,"Hudson County, New Jersey",0500000US34017,61.3,34,017,"Hudson County, New Jersey",0.67855889
182,"Hunterdon County, New Jersey",0500000US34019,75,34,019,"Hunterdon County, New Jersey",0.90064585
183,"Mercer County, New Jersey",0500000US34021,69,34,021,"Mercer County, New Jersey",0.7125212
184,"Middlesex County, New Jersey",0500000US34023,71.4,34,023,"Middlesex County, New Jersey",0.6829371999999999
185,"Monmouth County, New Jersey",0500000US34025,70.1,34,025,"Monmouth County, New Jersey",0.85531247
186,"Morris County, New Jersey",0500000US34027,75.4,34,027,"Morris County, New Jersey",0.89068192
