,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Broadband (%),GEO ID
194,"Tehama County, California",63247.0,56775.0,825.0,3034.0,1227.0,81.0,3988.0,0.51343703,0500000US06103
195,"Imperial County, California",179957.0,124596.0,6495.0,3922.0,4372.0,454.0,48818.0,0.83213323,0500000US06025
196,"Mono County, California",14058.0,12364.0,90.0,428.0,538.0,26.0,1015.0,0.52419353,0500000US06051
197,"San Benito County, California",58671.0,50390.0,869.0,1271.0,2467.0,336.0,6288.0,0.50453722,0500000US06069
198,"Alameda County, California",1629615.0,776267.0,212267.0,26156.0,527528.0,24871.0,178531.0,0.90071762,0500000US06001
199,"Sacramento County, California",1495400.0,961714.0,186222.0,34405.0,274657.0,26397.0,129492.0,0.89472681,0500000US06067
200,"El Dorado County, California",185015.0,168214.0,2603.0,4048.0,10464.0,1030.0,5837.0,0.90837997,0500000US06017
201,"Napa County, California",141005.0,106962.0,3699.0,2494.0,13592.0,1121.0,19009.0,0.90772825,0500000US06055
202,"San Diego County, California",3283665.0,2467578.0,206724.0,51911.0,467696.0,32483.0,240722.0,0.90376532,0500000US06073
203,"Monterey County, California",433168.0,295685.0,15789.0,7188.0,33309.0,3962.0,97431.0,0.80221689,0500000US06053
204,"San Francisco County, California",864263.0,445100.0,55436.0,10020.0,322008.0,6453.0,72379.0,0.90989822,0500000US06075
205,"Sierra County, California",2885.0,2851.0,10.0,44.0,39.0,0.0,1.0,0.44736844,0500000US06091
206,"Tulare County, California",458809.0,374115.0,10274.0,9905.0,20705.0,1822.0,57974.0,0.81856352,0500000US06107
207,"Yolo County, California",212605.0,155003.0,7612.0,4789.0,35227.0,2307.0,22263.0,0.89769852,0500000US06113
208,"Humboldt County, California",135490.0,116721.0,3181.0,11719.0,5528.0,1069.0,6017.0,0.85548759,0500000US06023
209,"Nevada County, California",98838.0,94177.0,1082.0,2427.0,2298.0,327.0,2208.0,0.88102132,0500000US06057
210,"Alpine County, California",1203.0,898.0,25.0,325.0,37.0,8.0,6.0,0.53846151,0500000US06003
211,"Madera County, California",154440.0,122249.0,6125.0,4341.0,4341.0,551.0,22193.0,0.77986687,0500000US06039
212,"Mendocino County, California",87497.0,76298.0,1445.0,6451.0,2366.0,508.0,5208.0,0.81339806,0500000US06045
213,"Santa Cruz County, California",273263.0,222884.0,5088.0,5479.0,17515.0,1399.0,35347.0,0.89668894,0500000US06087
214,"Trinity County, California",13037.0,11662.0,168.0,832.0,222.0,161.0,427.0,0.41447368,0500000US06105
215,"Los Angeles County, California",10105722.0,5539772.0,938238.0,157517.0,1621548.0,54214.0,2219583.0,0.85591775,0500000US06037
216,"Riverside County, California",2355002.0,1536689.0,178663.0,45050.0,186300.0,16201.0,507451.0,0.8884331,0500000US06065
217,"San Bernardino County, California",2121220.0,1390842.0,212959.0,44044.0,177695.0,13948.0,391129.0,0.86105555,0500000US06071
218,"Santa Clara County, California",1911226.0,947297.0,63995.0,25761.0,728076.0,15348.0,232842.0,0.9293201,0500000US06085
219,"Marin County, California",260814.0,215357.0,8964.0,3346.0,20692.0,1194.0,24903.0,0.9368543,0500000US06041
220,"Placer County, California",374985.0,326894.0,9170.0,7296.0,34827.0,3154.0,14430.0,0.92955035,0500000US06061
221,"Siskiyou County, California",43530.0,39728.0,1009.0,3430.0,1050.0,225.0,998.0,0.53618419,0500000US06093
222,"Shasta County, California",178919.0,162751.0,3428.0,8118.0,7144.0,845.0,4863.0,0.83125031,0500000US06089
223,"Solano County, California",434981.0,254902.0,73308.0,8699.0,81877.0,7618.0,44914.0,0.92808753,0500000US06095
