"County, State",GEO ID,FSRR2010,State,County
"Glynn County, Georgia",0500000US13127,60.1,13,127
"Gordon County, Georgia",0500000US13129,64.8,13,129
"Grady County, Georgia",0500000US13131,61.9,13,131
"Greene County, Georgia",0500000US13133,55.6,13,133
"Gwinnett County, Georgia",0500000US13135,66.3,13,135
"Habersham County, Georgia",0500000US13137,58.5,13,137
"Hall County, Georgia",0500000US13139,67.5,13,139
"Hancock County, Georgia",0500000US13141,38.7,13,141
"Haralson County, Georgia",0500000US13143,62,13,143
"Harris County, Georgia",0500000US13145,66.1,13,145
"Hart County, Georgia",0500000US13147,61.6,13,147
"Heard County, Georgia",0500000US13149,60.4,13,149
"Henry County, Georgia",0500000US13151,69,13,151
"Houston County, Georgia",0500000US13153,66.2,13,153
"Irwin County, Georgia",0500000US13155,60.5,13,155
"Jackson County, Georgia",0500000US13157,64.5,13,157
"Jasper County, Georgia",0500000US13159,63,13,159
"Jeff Davis County, Georgia",0500000US13161,52.5,13,161
"Jefferson County, Georgia",0500000US13163,50.4,13,163
"Jenkins County, Georgia",0500000US13165,55,13,165
"Johnson County, Georgia",0500000US13167,52.7,13,167
"Jones County, Georgia",0500000US13169,57,13,169
"Lamar County, Georgia",0500000US13171,59.6,13,171
"Lanier County, Georgia",0500000US13173,52.1,13,173
"Laurens County, Georgia",0500000US13175,61.4,13,175
"Lee County, Georgia",0500000US13177,71.5,13,177
"Liberty County, Georgia",0500000US13179,59.4,13,179
"Lincoln County, Georgia",0500000US13181,54.5,13,181
"Long County, Georgia",0500000US13183,39.6,13,183
"Lowndes County, Georgia",0500000US13185,65.8,13,185
"Lumpkin County, Georgia",0500000US13187,62.5,13,187
"McDuffie County, Georgia",0500000US13189,64.2,13,189
"McIntosh County, Georgia",0500000US13191,39.7,13,191
"Macon County, Georgia",0500000US13193,53.6,13,193
"Madison County, Georgia",0500000US13195,64.8,13,195
"Marion County, Georgia",0500000US13197,50.4,13,197
"Meriwether County, Georgia",0500000US13199,53.4,13,199
"Miller County, Georgia",0500000US13201,59.1,13,201
"Mitchell County, Georgia",0500000US13205,63.6,13,205
"Monroe County, Georgia",0500000US13207,61.4,13,207
"Montgomery County, Georgia",0500000US13209,47.8,13,209
"Morgan County, Georgia",0500000US13211,58.7,13,211
"Murray County, Georgia",0500000US13213,58.1,13,213
"Muscogee County, Georgia",0500000US13215,64.3,13,215
"Newton County, Georgia",0500000US13217,64.6,13,217
"Oconee County, Georgia",0500000US13219,73.4,13,219
"Oglethorpe County, Georgia",0500000US13221,62.3,13,221
"Paulding County, Georgia",0500000US13223,69.1,13,223
"Peach County, Georgia",0500000US13225,58.3,13,225
"Pickens County, Georgia",0500000US13227,58.3,13,227
"Pierce County, Georgia",0500000US13229,65.7,13,229
